,Professional,Country,DeveloperType,HaveWorkedLanguage,WantWorkLanguage
3324,Student,India,General,C; Common Lisp; Java; Python; Ruby; SQL,Go; JavaScript; Python; R
3331,Student,Netherlands,General,Java; JavaScript; PHP; Ruby; SQL,Go; Java; Python; Ruby
3334,Student,Luxembourg,General,C#; JavaScript; PHP; SQL; VB.NET; VBA,C++; Java
3380,Student,India,General,C; C++; C#; Perl; PHP; Python; SQL,Swift
3416,Student,Hungary,General,C; C++; C#; Java; Python,C#; F#; JavaScript; TypeScript
3425,Student,China,General,C; Python,Common Lisp; JavaScript; SQL
3451,Student,Germany,General,C#; Java; JavaScript; SQL,C++; C#; Java; JavaScript; SQL
3482,Student,India,General,C; C++; Java; Python,C#; Objective-C; Swift
3492,Student,Germany,General,C#; Java,C++; C#; Java; SQL
3508,Student,United Kingdom,General,C++; Haskell; Python; SQL,C++; Python
3520,Student,Germany,General,Assembly; C; C++; Java; JavaScript; Python; SQL,C++; Java; Python
3534,Student,Croatia,General,C; C#; Java; JavaScript; PHP; SQL; Visual Basic 6,JavaScript; SQL; TypeScript
3619,Student,United States,General,Python,Elixir
3645,Student,Netherlands,General,Go; Java; JavaScript; PHP; SQL; TypeScript,C; Go; Java; PHP; SQL; TypeScript
3660,Student,Lithuania,General,JavaScript; PHP,Java; JavaScript; PHP
3664,Student,United Kingdom,General,C#; JavaScript; SQL,C#; SQL
3673,Student,India,General,Java,Java; Python
3681,Student,Japan,General,C; C++; C#; Java; JavaScript; Lua; Perl; PHP; Python; Ruby; SQL,C#; JavaScript; PHP; SQL
3720,Student,India,General,C; C++; Go; Java; JavaScript; PHP; Python; SQL,Assembly; C; C++; C#; Common Lisp; F#; Go; Java; JavaScript; PHP; Python; R; Ruby; Rust; SQL; Swift; TypeScript
3729,Student,Australia,General,JavaScript,JavaScript; Lua; Python
3743,Student,China,General,C++; Java; JavaScript; Matlab; Python; R; SQL,C++; Java
3776,Student,India,General,C; C++; C#; Java; JavaScript; PHP; R; SQL,C; C++; C#; PHP; R; SQL
3778,Student,France,General,C#; Java; JavaScript; PHP; Python; SQL,PHP; Python; SQL
3785,Student,Pakistan,General,Assembly; C; C#; Java; JavaScript; Matlab; PHP; R; SQL,Java; JavaScript; Objective-C; PHP; Python; R; Ruby; SQL; Swift
3790,Student,Spain,General,Java; JavaScript; Perl; PHP; Python; R; SQL,C; C++; C#; Objective-C; Swift
3792,Student,India,General,C; Groovy; Java; Python,Dart; Go; Groovy; Java; JavaScript; Julia; Python
3802,Student,France,General,C; JavaScript,JavaScript; Python
3803,Student,United States,General,Assembly; C; C++; Python,C++; Go; JavaScript; Python; Rust
3846,Student,India,General,Assembly; C#; SQL,Assembly; C++; C#; Java; JavaScript; Perl; PHP; SQL
3852,Student,Kenya,General,SQL; Visual Basic 6,C++; C#; Java; JavaScript; PHP; Python
3874,Student,Israel,General,C++; C#; Java,C++; Java
3885,Student,Switzerland,General,Assembly; C; C++; C#; Go; Java; JavaScript; Perl; PHP; SQL; TypeScript; VBA,C#; Go; Haskell; Java; JavaScript; Perl; PHP; Python; SQL; TypeScript
3887,Student,Serbia,General,Assembly; C; C++; Java; JavaScript; PHP; SQL; TypeScript,C++; Go; Haskell; JavaScript; PHP; SQL; TypeScript
3921,Student,Spain,General,Assembly; C; Go,Assembly; C; Go; Rust
3966,Student,Japan,General,C#; Groovy; Java; JavaScript; Scala,C#; F#; Java; Swift
3987,Student,France,General,C#; Java; JavaScript; PHP; Python; SQL,Assembly; C++; C#; Python
4001,Student,Thailand,General,Python,C; C++; JavaScript; Swift
4021,Student,Australia,General,VB.NET,C#; JavaScript
4051,Student,India,General,C; C++; Java; JavaScript; PHP; Python; R; SQL,Java; JavaScript
4071,Student,Switzerland,General,Java; JavaScript; Matlab; R; Scala; SQL,Java; Scala
4082,Student,United Kingdom,General,C; Java; Python,C; C++; Haskell; Python; Rust
4102,Student,Germany,General,Assembly; C++,C++; Rust; Swift
4116,Student,Netherlands,General,C#; Java; PHP; SQL,JavaScript
4119,Student,India,General,C++; Java; JavaScript; Python,Python; R
4137,Student,Australia,General,JavaScript; Python,Ruby
4144,Student,Austria,General,C; C++; Java,Assembly; Java
4190,Student,Israel,General,C; Java,Scala
4240,Student,Italy,General,C; Haskell; Python,Haskell; Python; Rust; SQL
4244,Student,Germany,General,C; C++,C; C++; C#
4251,Student,Sri Lanka,General,C++; C#; Java; JavaScript; Python,Assembly; C; C#; Java; JavaScript; Python; SQL
4254,Student,Ireland,General,C; C#; Common Lisp; Java; JavaScript; PHP,C#; Java
4267,Student,Netherlands,General,Java; JavaScript; PHP; Python; SQL; Swift; TypeScript,Assembly; C; C++; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Julia; Lua; Matlab; Objective-C; Perl; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6
4275,Student,Germany,General,C; C#; Java,Haskell
4278,Student,Switzerland,General,Matlab; Python,C++; Matlab; Python
4293,Student,Austria,General,C#; Go; Java; PHP; Python; SQL,C; C#; Go; Lua; SQL
4321,Student,Israel,General,JavaScript; Python,Java; Python
4332,Student,France,General,C; C++; Python,C; C++; Go
4366,Student,Israel,General,Java; JavaScript,Matlab; Python; Ruby
4375,Student,Vietnam,General,C; C++; C#; Java; JavaScript; Python; R,Assembly; C; C++; C#; F#; Hack; Java; JavaScript; Python; R; SQL; VBA; Visual Basic 6
4386,Student,France,General,C; Java; JavaScript; Matlab; Python; SQL,C++
4394,Student,Germany,General,Java; SQL,C++; C#
4410,Student,United Kingdom,General,C++; C#; Erlang; Java; JavaScript; SQL,C#; Erlang; JavaScript; SQL
4414,Student,Sweden,General,JavaScript; PHP; SQL,C++; JavaScript; PHP; Ruby
4426,Student,Netherlands,General,C#; Java; JavaScript; PHP; SQL; VBA,F#; Matlab; Python; R
4438,Student,Germany,General,C++; PHP; Python,Java; JavaScript; PHP; Python; SQL
4441,Student,United Kingdom,General,Clojure; Elixir; JavaScript,Assembly; Clojure; Elixir; F#
4476,Student,Portugal,General,C; C#; Java; JavaScript; Ruby; SQL,C; C++; C#; Go; Haskell; JavaScript; Python; Rust; Scala; SQL; TypeScript
4494,Student,Zimbabwe,General,C++; C#; SQL,C++; C#; Java; JavaScript; Matlab; PHP; Python; Ruby; SQL; VB.NET
4576,Student,Germany,General,C#; JavaScript; VB.NET,Go; R; Rust; Swift; TypeScript
4579,Student,Sweden,General,C; C++; Lua; Python,Assembly; JavaScript; Lua; Python
4582,Student,Netherlands,General,Java; JavaScript; SQL; TypeScript,C#; Python; Scala
4594,Student,Philippines,General,JavaScript; PHP,C#; JavaScript
4598,Student,Lithuania,General,C#; Java; SQL,C#; JavaScript; Python
4600,Student,Germany,General,Java; Python; SQL; VBA,Java; Lua; Python; SQL
4617,Student,Bulgaria,General,JavaScript; SQL,CoffeeScript; TypeScript
4627,Student,Netherlands,General,Java; Python; R; Ruby; SQL,Java; Python; SQL
4674,Student,United States,General,C; C++,C; C++; Haskell; Python
4730,Student,India,General,C; Java; SQL,C; C#; Java; JavaScript; SQL; VB.NET
4739,Student,Poland,General,Java; Ruby,JavaScript; Swift
4765,Student,Poland,General,C++; C#; Java; JavaScript; PHP; TypeScript,C++; C#; JavaScript; TypeScript
4781,Student,Greece,General,C++; PHP,C++; Java; Python
4797,Student,Poland,General,C++; Common Lisp; Python,C++; Common Lisp; Erlang; Haskell
4812,Student,Egypt,General,Java; SQL,C++; Objective-C; Python; Ruby
4817,Student,Germany,General,Java; JavaScript; SQL; Swift,C; C++; Haskell; Java; JavaScript; SQL
4861,Student,Czech Republic,General,Python; SQL,Haskell; Rust; Scala
4863,Student,France,General,C; C++; Java; Perl; PHP; Python; R; SQL; VBA,C#; SQL
4882,Student,United Kingdom,General,Julia; Matlab; Objective-C; Python,Julia; Rust; Swift
4889,Student,South Africa,General,C++; C#; JavaScript; PHP; Python; SQL,C; C++; C#; JavaScript; PHP; Python; SQL
4890,Student,Netherlands,General,Java; PHP; Python; SQL,Java
4919,Student,Australia,General,C; C++; Java; JavaScript; PHP; Python; SQL,Assembly; C#; Go; Java; JavaScript; PHP; Python; SQL
4942,Student,Malaysia,General,JavaScript,Rust; Swift; TypeScript; Visual Basic 6
4948,Student,India,General,JavaScript; Python,C; C++; Go; Haskell; JavaScript
4958,Student,Poland,General,C#; JavaScript; SQL,Assembly; C#; F#; JavaScript; Python; SQL
4968,Student,India,General,C++; JavaScript; Python,C++; Erlang; Python
4969,Student,France,General,C; C++; C#; Java; JavaScript; PHP; SQL,Java; JavaScript; Lua; PHP; SQL
4976,Student,Greece,General,Java; JavaScript; PHP; Python; SQL,Dart; Go
5021,Student,Singapore,General,C; C++; Java; JavaScript,Assembly; C; C++; JavaScript; Python
5029,Student,Venezuela,General,Assembly; C; C++; C#; Java; Julia; SQL,Julia; PHP; Python; SQL
5030,Student,Ukraine,General,C; C++; C#; Python; SQL,Common Lisp; Haskell; Rust; Scala
5033,Student,Germany,General,C#; Matlab; Ruby,C++; C#; Java
5041,Student,Latvia,General,C++; C#; Java; JavaScript,C++; Java; Python
5056,Student,India,General,C; C++; C#; Java; JavaScript; VB.NET; VBA; Visual Basic 6,Assembly; Matlab; Objective-C; Python
5068,Student,Poland,General,C++; Go,Assembly; Rust
5116,Student,Finland,General,C++; Python,C++; C#; Python
5122,Student,Ukraine,General,Java; JavaScript; PHP,C++
5123,Student,Vietnam,General,C; C++,C; C++; Go; Java; JavaScript; Objective-C; PHP; Python; Swift
5126,Student,Poland,General,Groovy; Java,C++
5155,Student,India,General,JavaScript; Python; Ruby,Go; JavaScript; Python; Ruby
5170,Student,France,General,C#; Java; JavaScript; PHP; SQL,C#; Go; JavaScript; PHP; Python; Ruby; SQL
5173,Student,Germany,General,C#; Java; Swift,Java; JavaScript; Swift
5193,Student,Germany,General,Java; JavaScript; TypeScript,JavaScript; TypeScript
5201,Student,Spain,General,Assembly; C; C++; Java; JavaScript; Lua; PHP; Python; SQL,Assembly; C; C++; Java; JavaScript; Lua; Python
5211,Student,Thailand,General,Java; Python; SQL,Assembly; C; C++; C#; Ruby; Rust
5236,Student,France,General,C; C++; Python,C++
5264,Student,United States,General,C; Java; PHP; SQL; VB.NET,C++; Go
5272,Student,Japan,General,C; C++; C#; Java; JavaScript; Lua; Objective-C; PHP; Python; Ruby; SQL,C++; C#; JavaScript; PHP; SQL
5282,Student,Russian Federation,General,C; C++; Haskell; Python; SQL,C; C++; Haskell; Python; R; SQL
5312,Student,United Kingdom,General,C++; Python; R; SQL,C++; Python; R; Ruby
5389,Student,United States,General,Dart; Go; Java; Rust,Assembly; C; C++; C#; Dart; Erlang; Go; JavaScript; Rust; Swift
5418,Student,United Kingdom,General,Haskell; Java; JavaScript; PHP; Python; Scala; SQL,C++; C#; F#; Haskell; Scala; Swift
5441,Student,Finland,General,Swift,JavaScript; Ruby; SQL; Swift
5453,Student,United States,General,JavaScript; PHP; SQL,C++; Go; Python; R
